lat,lon,Country,yr1975,yr1985,yr1995,yr2005,yr2010,yr2012,yr2013,yr2014
20.5696144,56.0980759,Oman,8.1,5.6,7.1,12.3,16.1,16.7,15.7,14.4
62.5360413,-96.3883514,Canada,17.2,16.3,16,17.3,15.7,14.9,14.7,15.1
-25.5789375,134.3597107,Australia,12.7,15.3,15.5,17.2,17.6,16.9,16,15.3
39.4959145,-98.9899826,United States of America,19.8,18.4,19,19.3,17.2,16.1,16.1,16.2
36.1359711,-5.3486271,Gibraltar,3.5,1.6,10.1,13.7,15.2,14.7,15.5,16.5
-21.3269653,165.4899445,New Caledonia,19.7,9.4,10.9,12.2,14.4,14.3,16.5,16.5
49.776825,6.0923409,Luxembourg,33,25,20.4,25.3,21.6,20,18.4,17.3
-51.7455063,-58.7521095,Falkland Islands (Malvinas),6.7,15.5,18.1,17.5,19.1,19.1,19,18.9
24.1241169,44.550499,Saudi Arabia,11.3,13.1,12.7,16.5,18.4,19.1,17.9,19.5
4.4969049,114.6308365,Brunei Darussalam,45.2,11.8,16.5,13.8,20.9,23.8,19,21.8
26.089241,50.5627708,Bahrain,21.7,24.5,26.5,26.5,23.2,20,23.2,23
23.907177,54.3335304,United Arab Emirates,58.2,37,30.1,28.5,19.3,19.7,18.9,23.2
29.3358822,47.5954933,Kuwait,16,16.7,33.7,31.6,29.3,29.9,27.4,25.4
10.4237452,-61.2965317,Trinidad and Tobago,9.5,17.7,13.5,29,36.1,33.8,34.5,34.2
25.2853317,51.1932526,Qatar,67.3,33.7,63.4,62.1,41.1,46.7,40.4,49.7
